YEAR,TOURNAMENT,CHAMPION,RUNNER-UP,SCORE,SURFACE
,,,,,
,,,,,
2024,Australian Open,Jannik Sinner (Italy),Daniil Medvedev (Russia),3-6 3-6 6-4 6-4 6-3,Hard
2024,French Open,Carlos Alcaraz (Spain),Alexander Zverev (Germany),"6-3, 2-6, 5-7, 6-1, 6-2",Clay
2024,Wimbeldon,Carlos Alcaraz (Spain),Novak Djokovic (Serbia),"6-2, 6-2, 7-6(7-4)",Grass
2024,US Open,Jannik Sinner (Italy),Taylor Fritz (USA),"6-3, 6-4, 7-5",Hard
,,,,,
2023,Australian Open,Novak Djokovic (Serbia),Stefanos Tsitsipas (Greece),6-3 7-6(4) 7-6(5),Hard
2023,French Open,Novak Djokovic (Serbia),Casper Ruud (Norway),"7-6(7-1), 6-3, 7-5",Clay
2023,Wimbeldon,Carlos Alcaraz (Spain),Novak Djokovic (Serbia),"1-6, 7-6(8-6), 6-1, 3-6, 6-4",Grass
2023,US Open,Novak Djokovic (Serbia),Daniil Medvedev (Russia),"6-3, 7-6(7-5), 6-3",Hard
,,,,,
2022,Australian Open,Rafael Nadal (Spain),Daniil Medvedev (Russia),2-6 6-7(5) 6-4 6-4 7-5,Hard
2022,French Open,Rafael Nadal (Spain),Casper Ruud (Norway),"6-3, 6-3, 6-0",Clay
2022,Wimbeldon,Novak Djokovic (Serbia),Nick Kyrgios (Australia),"4-6, 6-3, 6-4, 7-6(7-3)",Grass
2022,US Open,Carlos Alcaraz (Spain),Casper Ruud (Norway),"6-4, 2-6, 7-6(7-1), 6-3",Hard
,,,,,
2021,Australian Open,Novak Djokovic (Serbia),Daniil Medvedev (Russia),7-5 6-2 6-2,Hard
2021,French Open,Novak Djokovic (Serbia),Stefanos Tsitsipas (Greece),"6-7(6-8), 2-6, 6-3, 6-2, 6-4",Clay
2021,Wimbeldon,Novak Djokovic (Serbia),Matteo Berrettini (Italy),"6-7(4-7), 6-4, 6-4, 6-3",Grass
2021,US Open,Daniil Medvedev (Russia) ,Novak Djokovic (Serbia),"6-4, 6-4, 6-4",Hard
,,,,,
2020,Australian Open,Novak Djokovic (Serbia),Dominic Thiem (AUT),6-4 4-6 2-6 6-3 6-4,Hard
2020,French Open,Rafael Nadal (Spain),Novak Djokovic (Serbia),"6-0, 6-2, 7-5",Clay
2020,Wimbeldon,event canceled,,,Grass
2020,US Open,Dominic Thiem (Austria),Alexander Zverev (Germany),"2-6, 4-6, 6-4, 6-3, 7-6(8-6)",Hard
,,,,,
2019,Australian Open,Novak Djokovic (Serbia),Rafael Nadal (Spain),6-3 6-2 6-3,Hard
2019,French Open,Rafael Nadal (Spain),Dominic Thiem (Austria),"6-3, 5-7, 6-1, 6-1",Clay
2019,Wimbeldon,Novak Djokovic (Serbia),Roger Federer (Swit),"7-6(7-5), 1-6, 7-6(7-4), 4-6, 13-12(7-3)",Grass
2019,US Open,Rafael Nadal (Spain),Daniil Medvedev (Russia),"7-5, 6-3, 5-7, 4-6, 6-4",Hard
,,,,,
2018,Australian Open,Roger Federer (Swit),Marin Cilic (CRO),6-2 6-7(5) 6-3 3-6 6-1,Hard
2018,French Open,Rafael Nadal (Spain),Dominic Thiem (Austria),"6-4, 6-3, 6-2",Clay
2018,Wimbeldon,Novak Djokovic (Serbia),Kevin Anderson (South Africa),"6-2, 6-2, 7-6(7-3)",Grass
2018,US Open,Novak Djokovic (Serbia),Juan Martín del Potro (Argentina),"6-3, 7-6(7-4), 6-3",Hard
,,,,,
2017,Australian Open,Roger Federer (Swit),Rafael Nadal (Spain),6-4 3-6 6-1 3-6 6-3,Hard
2017,French Open,Rafael Nadal (Spain),Stan Wawrinka (Switzerland),"6-2, 6-3, 6-1",Clay
2017,Wimbeldon,Roger Federer (Swit),Marin ?ili? (Croatia),"6-3, 6-1, 6-4",Grass
2017,US Open,Rafael Nadal (Spain),Kevin Anderson (South Africa),"6-3, 6-3, 6-4",Hard
,,,,,
2016,Australian Open,Novak Djokovic (Serbia),Andy Murray (UK),6-1 7-5 7-6(3),Hard
2016,French Open,Novak Djokovic (Serbia),Andy Murray (UK),"3-6, 6-1, 6-2, 6-4",Clay
2016,Wimbeldon,Andy Murray (UK),Milos Raonic (Canada),"6-4, 7-6(7-3), 7-6(7-2)",Grass
2016,US Open,Stan Wawrinka (Switzerland),Novak Djokovic (Serbia),"6-7(1-7), 6-4, 7-5, 6-3",Hard
,,,,,
2015,Australian Open,Novak Djokovic (Serbia),Andy Murray (UK),7-6(5) 6-7(4) 6-3 6-0,Hard
2015,French Open,Stan Wawrinka (Switzerland),Novak Djokovic (Serbia),"4-6, 6-4, 6-3, 6-4",Clay
2015,Wimbeldon,Novak Djokovic (Serbia),Roger Federer (Swit),"7-6(7-1), 6-7(10-12), 6-4, 6-3",Grass
2015,US Open,Novak Djokovic (Serbia),Roger Federer (Swit),"6-4, 5-7, 6-4, 6-4",Hard
,,,,,
2014,Australian Open,Stan Wawrinka (Switzerland),Rafael Nadal (Spain),6-3 6-2 3-6 6-3,Hard
2014,French Open,Rafael Nadal (Spain),Novak Djokovic (Serbia),"3-6, 7-5, 6-2, 6-4",Clay
2014,Wimbeldon,Novak Djokovic (Serbia),Roger Federer (Swit),"6-7(7-9), 6-4, 7-6(7-4), 5-7, 6-4",Grass
2014,US Open,Marin ?ili? (Croatia),Kei Nishikori (Japan),"6-3, 6-3, 6-3",Hard
